epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.93082,0.75165,0.125,1,1.01348,1.667e-05,1.667e-05,1.667e-05
2,4.66335,0.73456,0,1,0.96143,4.95149e-05,4.95149e-05,4.95149e-05
3,4.91012,0.70769,0.125,1,0.89989,8.16997e-05,8.16997e-05,8.16997e-05
4,5.16654,0.67369,0.25,1,0.8028,0.000113224,0.000113224,0.000113224
5,5.40862,0.63587,0.5,1,0.70449,0.000144089,0.000144089,0.000144089
6,5.64812,0.64725,0.75,1,0.61464,0.000174293,0.000174293,0.000174293
7,5.90524,0.54516,0.875,1,0.51691,0.000203837,0.000203837,0.000203837
8,6.15998,0.48535,1,1,0.42335,0.000232722,0.000232722,0.000232722
9,6.41243,0.40547,1,1,0.32517,0.000260946,0.000260946,0.000260946
10,6.65262,0.39644,1,1,0.25833,0.000288509,0.000288509,0.000288509
11,6.91473,0.29226,1,1,0.19503,0.000315413,0.000315413,0.000315413
12,7.18124,0.44038,1,1,0.14467,0.000341657,0.000341657,0.000341657
13,7.43704,0.4306,1,1,0.11363,0.00036724,0.00036724,0.00036724
14,7.69558,0.34717,1,1,0.09288,0.000392163,0.000392163,0.000392163
15,7.95688,0.2776,1,1,0.08395,0.000416427,0.000416427,0.000416427
16,8.21161,0.19683,1,1,0.06767,0.00044003,0.00044003,0.00044003
17,8.47054,0.19268,1,1,0.05949,0.000462973,0.000462973,0.000462973
18,8.72146,0.24912,1,1,0.05466,0.000485255,0.000485255,0.000485255
19,8.97945,0.18558,1,1,0.03702,0.000506878,0.000506878,0.000506878
20,9.2331,0.1411,1,1,0.0205,0.000527841,0.000527841,0.000527841
21,9.49766,0.16938,1,1,0.01042,0.000548143,0.000548143,0.000548143
22,9.75139,0.11684,1,1,0.0101,0.000567785,0.000567785,0.000567785
23,10.0302,0.05543,1,1,0.02103,0.000586767,0.000586767,0.000586767
24,10.2873,0.08469,1,1,0.04812,0.000605089,0.000605089,0.000605089
25,10.5528,0.22329,1,1,0.07867,0.000622751,0.000622751,0.000622751
26,10.8156,0.22019,0.875,1,0.18354,0.000639753,0.000639753,0.000639753
27,11.0702,0.67415,0.875,1,0.28357,0.000656095,0.000656095,0.000656095
28,11.3273,0.32989,0.875,1,0.31632,0.000671776,0.000671776,0.000671776
29,11.5877,0.12224,0.875,1,0.2448,0.000686797,0.000686797,0.000686797
30,11.835,0.08329,0.875,1,0.17776,0.000701159,0.000701159,0.000701159
31,12.0958,0.09016,0.875,1,0.12963,0.00071486,0.00071486,0.00071486
32,12.3553,0.1368,1,1,0.08605,0.000727901,0.000727901,0.000727901
33,12.6031,0.07438,1,1,0.07336,0.000740281,0.000740281,0.000740281
34,12.8496,0.07122,1,1,0.08493,0.000752002,0.000752002,0.000752002
35,13.0966,0.11777,1,1,0.09089,0.000763063,0.000763063,0.000763063
36,13.3586,0.07553,1,1,0.09981,0.000773463,0.000773463,0.000773463
37,13.6261,0.13157,1,1,0.11696,0.000783203,0.000783203,0.000783203
38,13.8872,0.20207,1,1,0.10886,0.000792283,0.000792283,0.000792283
39,14.1447,0.05245,1,1,0.08539,0.000800703,0.000800703,0.000800703
40,14.4,0.05542,1,1,0.05374,0.000808463,0.000808463,0.000808463
41,14.656,0.61762,1,1,0.0254,0.000815563,0.000815563,0.000815563
42,14.9144,0.09469,1,1,0.01156,0.000822003,0.000822003,0.000822003
43,15.1787,0.22632,1,1,0.00972,0.000827782,0.000827782,0.000827782
44,15.4382,0.11789,1,1,0.0144,0.000832902,0.000832902,0.000832902
45,15.707,0.03286,1,1,0.02741,0.000837361,0.000837361,0.000837361
46,15.9679,0.11037,1,1,0.03177,0.00084116,0.00084116,0.00084116
47,16.2465,0.08731,1,1,0.04445,0.000844299,0.000844299,0.000844299
48,16.5169,0.09444,1,1,0.07713,0.000846778,0.000846778,0.000846778
