epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.66779,1.69431,3.45036,1.93569,0.00293,0.875,0.05325,0.02263,2.34142,4.74,3.0709,1.667e-05,1.667e-05,1.667e-05
2,2.92747,1.72302,3.30911,1.82168,0.00294,0.875,0.18256,0.06527,2.21199,4.86613,3.09277,4.95149e-05,4.95149e-05,4.95149e-05
3,4.23073,1.2672,3.16172,1.48775,0.00208,0.625,0.18068,0.08996,2.07928,4.67761,2.97947,8.16997e-05,8.16997e-05,8.16997e-05
4,5.51221,1.51929,3.25961,1.72982,0.00258,0.75,0.24138,0.1026,2.00425,4.61132,2.90045,0.000113224,0.000113224,0.000113224
5,6.80673,1.47242,3.05655,1.69282,0.00292,0.875,0.15776,0.07806,2.12184,4.69494,3.11071,0.000144089,0.000144089,0.000144089
6,8.04102,1.33305,2.98218,1.63596,0.00256,0.75,0.22967,0.08578,2.12456,4.42045,3.13421,0.000174293,0.000174293,0.000174293
7,9.24306,1.23833,2.55798,1.46666,0.00251,0.75,0.27246,0.14903,2.28825,4.61465,3.54097,0.000203837,0.000203837,0.000203837
8,10.4597,1.43673,2.65711,1.75901,0.00167,0.5,0.19445,0.05411,2.82362,4.63387,4.27008,0.000232722,0.000232722,0.000232722
9,11.7213,1.24496,2.1828,1.6106,0.00126,0.375,0.02018,0.00497,3.37023,5.03279,5.03163,0.000260946,0.000260946,0.000260946
10,12.9278,1.30559,2.39076,1.56934,0.00167,0.5,0.02131,0.00323,3.59434,4.99254,4.84116,0.000288509,0.000288509,0.000288509
11,14.1167,1.23522,2.04305,1.44238,0.00208,0.625,0.13178,0.02593,3.24986,4.96266,4.04846,0.000315413,0.000315413,0.000315413
12,15.3023,1.32221,1.99936,1.53946,0.00294,0.875,0.06753,0.01123,2.90192,4.78754,3.82458,0.000341657,0.000341657,0.000341657
13,16.5132,1.26207,2.03182,1.38837,0.00211,0.625,0.05802,0.00778,2.93565,4.59116,3.8886,0.00036724,0.00036724,0.00036724
14,17.7046,1.35264,2.03268,1.55001,0.00251,0.75,0.10208,0.01548,2.8283,4.82867,3.97771,0.000392163,0.000392163,0.000392163
15,18.9025,1.02421,1.74422,1.3501,0.0026,0.75,0.12474,0.0497,2.51448,4.34504,3.51742,0.000416427,0.000416427,0.000416427
16,20.1094,1.31539,1.89869,1.48482,0.00317,0.875,0.20259,0.04695,2.32031,4.63786,3.53807,0.00044003,0.00044003,0.00044003
17,21.2946,1.20307,1.86869,1.44552,0.00371,1,0.34835,0.13208,1.99616,4.38617,2.79249,0.000462973,0.000462973,0.000462973
18,22.5015,1.11768,1.77618,1.38794,0.00355,1,0.39551,0.20285,1.79831,4.18701,2.44432,0.000485255,0.000485255,0.000485255
19,23.7307,1.19994,1.98297,1.46269,0.00335,1,0.47762,0.26582,1.57462,4.04203,2.21586,0.000506878,0.000506878,0.000506878
20,24.9506,1.25331,1.74966,1.39205,0.67384,0.125,0.35517,0.14749,1.6932,3.94422,2.36381,0.000527841,0.000527841,0.000527841
21,26.1586,1.41537,1.82369,1.52433,0.00341,1,0.21344,0.08375,1.99218,4.2295,2.74763,0.000548143,0.000548143,0.000548143
22,27.3431,1.0508,1.5291,1.24786,0.6989,0.125,0.2089,0.09042,2.10352,4.50182,2.94416,0.000567785,0.000567785,0.000567785
23,28.5321,1.07971,1.91946,1.35082,0.81763,0.22645,0.36349,0.1666,1.85891,3.8915,2.69696,0.000586767,0.000586767,0.000586767
24,29.752,1.44596,1.89471,1.5157,0.56354,0.38461,0.55264,0.31343,1.48932,3.623,2.22923,0.000605089,0.000605089,0.000605089
25,30.9742,1.18085,1.84439,1.38568,0.96679,0.125,0.22255,0.14533,2.83178,4.23766,3.25661,0.000622751,0.000622751,0.000622751
