epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.01978,1.66286,6.19081,3.29965,1.89826,0.0033,0.875,0.02238,0.01014,0.0033,0.875,0.0301,0.00892,2.43721,3.89598,4.5311,2.84265,1.667e-05,1.667e-05,1.667e-05
2,11.7615,1.38534,4.71862,3.33254,1.63618,0.00331,0.875,0.02403,0.01256,0.00331,0.875,0.02782,0.01014,2.26396,3.91938,4.6037,2.73845,4.95149e-05,4.95149e-05,4.95149e-05
3,17.4308,1.1887,4.24265,3.12569,1.50093,0.00329,0.875,0.02915,0.01098,0.00329,0.875,0.02653,0.01039,2.22628,3.98741,4.63425,2.60267,8.16997e-05,8.16997e-05,8.16997e-05
4,22.8045,1.42135,3.28753,3.26529,1.68808,0.00283,0.75,0.03083,0.01095,0.00329,0.875,0.03023,0.01057,2.51953,4.34187,4.70506,2.88907,0.000113224,0.000113224,0.000113224
5,28.2265,1.09191,3.31082,3.03156,1.48632,0.00328,0.875,0.04724,0.01164,0.00291,0.775,0.04228,0.01204,2.77815,4.56814,4.84408,3.22068,0.000144089,0.000144089,0.000144089
6,33.7576,0.98222,2.63444,2.78808,1.38169,0.00282,0.75,0.02085,0.00546,0.00328,0.875,0.01924,0.00509,2.86309,4.73953,4.83266,3.27031,0.000174293,0.000174293,0.000174293
7,39.279,1.28459,2.69527,2.62424,1.57985,0.00235,0.625,0.01707,0.00349,0.00282,0.75,0.00705,0.00167,3.33237,4.6652,4.67688,3.66437,0.000203837,0.000203837,0.000203837
8,44.7962,1.2651,2.51104,2.47058,1.58142,0.00237,0.625,0.02149,0.00627,0.00245,0.65,0.02184,0.00444,3.39522,4.75335,4.78848,3.89645,0.000232722,0.000232722,0.000232722
9,50.251,1.2033,2.41107,2.49615,1.5145,0.00285,0.75,0.03833,0.00863,0.00246,0.65,0.01901,0.00273,3.08782,5.09974,4.96375,3.41245,0.000260946,0.000260946,0.000260946
10,55.6389,1.07214,1.88671,2.39271,1.45922,0.00335,0.875,0.07649,0.02627,0.00211,0.525,0.04648,0.01627,2.61706,6.44243,4.71542,3.04437,0.000288509,0.000288509,0.000288509
11,61.1588,1.29502,2.29256,2.27892,1.45608,0.0026,0.625,0.14292,0.03239,0.00216,0.525,0.09538,0.02034,2.65718,6.69374,4.42171,3.00835,0.000315413,0.000315413,0.000315413
12,66.6863,1.09571,2.0029,2.07736,1.32485,0.00295,0.75,0.20108,0.03806,0.00295,0.75,0.08161,0.02195,2.46832,7.1964,4.4665,3.03541,0.000341657,0.000341657,0.000341657
13,72.2022,1.23541,2.5246,2.2091,1.54559,0.00332,0.875,0.1478,0.04815,0.00248,0.625,0.09518,0.0493,2.28609,7.29874,4.15614,2.75382,0.00036724,0.00036724,0.00036724
14,77.7647,1.08661,2.09004,1.8747,1.36864,0.00331,0.875,0.28444,0.08855,0.00288,0.75,0.28137,0.06904,1.92036,5.06834,3.84003,2.4492,0.000392163,0.000392163,0.000392163
15,83.3591,0.98907,2.38997,1.85292,1.34153,0.00333,0.75,0.44949,0.14301,0.00333,0.75,0.45446,0.13329,2.216,5.19584,3.67147,3.02282,0.000416427,0.000416427,0.000416427
16,88.9157,1.38984,2.78842,2.36115,1.67812,0.02341,0.75,0.49134,0.15794,0.0194,0.625,0.26431,0.12308,2.4877,5.76004,3.80106,3.35929,0.00044003,0.00044003,0.00044003
17,94.4133,1.18443,2.02714,2.01258,1.69426,0.63825,0.425,0.48903,0.18462,0.10126,0.2,0.14963,0.10412,2.10827,6.40171,3.43798,2.91159,0.000462973,0.000462973,0.000462973
18,99.716,1.11884,2.14864,1.96913,1.37684,0.67738,0.325,0.41019,0.11849,0.31705,0.2,0.20887,0.09518,1.91064,6.02518,3.83385,2.64203,0.000485255,0.000485255,0.000485255
19,105.228,1.25163,1.9889,1.84773,1.44944,0.5,0.22032,0.36283,0.09171,0.26613,0.13883,0.19386,0.07821,2.25475,6.47619,4.39415,3.25383,0.000506878,0.000506878,0.000506878
20,110.669,0.97259,1.65881,1.67701,1.28519,0.81517,0.125,0.32197,0.08964,0.84832,0.125,0.18502,0.08625,2.29336,5.93245,4.59428,3.54728,0.000527841,0.000527841,0.000527841
21,116.169,1.31656,2.26386,2.1636,1.563,0.27904,0.225,0.20619,0.08567,0.29426,0.225,0.16129,0.07123,2.42888,6.50256,4.01573,3.56091,0.000548143,0.000548143,0.000548143
22,121.668,1.23059,2.33113,1.75263,1.44941,0.30921,0.22066,0.23593,0.0759,0.09218,0.1,0.04677,0.01869,2.30131,10.2765,3.92051,3.19107,0.000567785,0.000567785,0.000567785
23,127.252,0.97756,1.59872,2.40091,1.34509,0.05214,0.1,0.08137,0.03771,0.05237,0.1,0.02372,0.01297,2.46685,12.2463,4.05982,3.33525,0.000586767,0.000586767,0.000586767
24,131.455,1.28835,1.86758,1.95758,1.49019,0.17008,0.225,0.08863,0.044,0.03585,0.1,0.02236,0.01278,2.39788,11.5545,3.89101,3.5214,0.000605089,0.000605089,0.000605089
25,136.365,1.17991,1.88403,1.83796,1.38362,0.49538,0.35,0.40756,0.12168,0.28103,0.225,0.15259,0.067,2.26341,7.87555,3.65581,3.25765,0.000622751,0.000622751,0.000622751
26,141.287,1.41544,2.27566,2.14763,1.69032,0.62482,0.34561,0.51978,0.21805,0.62553,0.34688,0.53811,0.15002,2.16962,6.99229,3.41735,3.28883,0.000639753,0.000639753,0.000639753
27,146.24,1.06484,1.99147,1.79549,1.31361,0.63064,0.65,0.54171,0.19719,0.60058,0.55,0.51025,0.11143,2.22842,6.7035,3.33489,3.27859,0.000656095,0.000656095,0.000656095
28,151.278,1.26283,2.33226,1.86602,1.40094,0.5795,0.525,0.35454,0.10831,0.54791,0.425,0.26964,0.09179,2.53272,6.43117,3.40385,3.59851,0.000671776,0.000671776,0.000671776
29,158.009,1.16543,2.04941,1.72558,1.3968,0.64387,0.3,0.31161,0.12389,0.60899,0.2,0.26791,0.11227,2.57184,5.60763,3.68319,3.66344,0.000686797,0.000686797,0.000686797
30,164.625,1.13529,2.1822,1.79546,1.37771,0.92026,0.1,0.16965,0.08086,0.80137,0.2,0.17901,0.06825,2.52823,6.06336,3.9107,3.62914,0.000701159,0.000701159,0.000701159
31,170.901,1.22643,2.01331,1.90274,1.40752,0.29355,0.2,0.22791,0.10204,0.15618,0.1,0.12736,0.0473,2.59321,8.05498,4.36693,3.68961,0.00071486,0.00071486,0.00071486
32,177.129,1.07427,1.80385,1.46945,1.2802,0.26429,0.2,0.23502,0.08372,0.15012,0.1,0.12388,0.04651,2.64129,7.74856,4.20585,3.88134,0.000727901,0.000727901,0.000727901
33,183.401,1.02945,1.99882,1.53913,1.24622,0.26803,0.325,0.2208,0.07891,0.14154,0.225,0.12379,0.03615,2.42528,6.25094,4.06399,3.47667,0.000740281,0.000740281,0.000740281
34,189.713,1.1495,2.10654,1.97849,1.40644,0.35347,0.325,0.26861,0.09277,0.15929,0.125,0.13004,0.05399,2.417,9.62906,4.23113,3.27173,0.000752002,0.000752002,0.000752002
35,195.537,1.22249,2.12965,1.62175,1.43284,0.23282,0.2908,0.27408,0.11508,0.71972,0.125,0.16341,0.08116,2.46512,11.7392,4.70617,3.72108,0.000763063,0.000763063,0.000763063
36,201.466,0.97264,1.82133,1.67805,1.22171,0.00377,0.125,0.15537,0.02273,0.51324,0.125,0.02397,0.00657,3.02539,11.9518,8.12752,4.44178,0.000773463,0.000773463,0.000773463
37,206.078,1.07754,1.89824,1.53085,1.34285,0.1624,0.225,0.08567,0.01996,0.1349,0.35,0.04416,0.00972,3.33289,10.0989,10.8213,5.56778,0.000783203,0.000783203,0.000783203
38,210.689,1.03404,1.99891,1.62331,1.3468,0.4343,0.225,0.14547,0.0214,0.4343,0.225,0.1061,0.02165,2.99371,10.7082,8.20054,5.40394,0.000792283,0.000792283,0.000792283
39,215.283,1.27245,1.85567,1.95085,1.73286,0.22176,0.1,0.09612,0.02062,0.24355,0.225,0.06938,0.01663,3.37397,14.7744,6.94155,6.76609,0.000800703,0.000800703,0.000800703
40,219.899,1.18704,1.89897,1.53628,1.32622,0.15492,0.1,0.0905,0.01145,0.08587,0.1,0.06176,0.02133,3.22908,12.3139,7.09713,6.83416,0.000808463,0.000808463,0.000808463
41,224.515,1.06344,1.75734,1.43508,1.27409,0.11107,0.1,0.07986,0.00962,0.26939,0.2,0.24519,0.05892,3.17942,9.84466,5.20246,7.54404,0.000815563,0.000815563,0.000815563
42,229.082,1.03504,2.18763,1.68859,1.37679,0.19792,0.4,0.16413,0.02687,0.20426,0.525,0.20912,0.04873,3.21818,9.10651,4.63926,6.07754,0.000822003,0.000822003,0.000822003
43,233.597,1.11627,1.84834,1.70154,1.42519,0.2173,0.2,0.24731,0.05485,0.20594,0.2,0.23185,0.03636,2.88609,7.65491,4.26844,5.23217,0.000827782,0.000827782,0.000827782
44,238.057,1.07412,1.90784,1.54257,1.37742,0.34651,0.325,0.25037,0.05451,0.71946,0.32413,0.39384,0.1601,2.63361,6.9241,4.05327,3.90111,0.000832902,0.000832902,0.000832902
45,242.676,0.9964,1.89076,1.49917,1.28485,0.32266,0.325,0.25374,0.07398,0.46332,0.325,0.4333,0.19974,2.43214,5.03432,3.92725,3.23635,0.000837361,0.000837361,0.000837361
46,247.29,1.22805,1.96096,1.54886,1.4158,0.49627,0.425,0.45239,0.21597,0.45171,0.53386,0.55998,0.20697,2.23382,4.67503,3.43192,2.90862,0.00084116,0.00084116,0.00084116
47,251.961,0.99942,1.85236,1.57637,1.26372,0.60072,0.42969,0.5444,0.23143,1,0.44618,0.65191,0.21418,1.95218,5.05492,3.18491,2.54416,0.000844299,0.000844299,0.000844299
48,258.084,0.98551,1.93039,1.37465,1.29961,0.96307,0.52711,0.63948,0.24601,0.56023,0.68731,0.58207,0.22118,2.07199,6.23551,3.16815,2.81718,0.000846778,0.000846778,0.000846778
49,263.77,1.12475,1.87688,1.33466,1.39056,0.56469,0.475,0.44846,0.15137,0.56469,0.475,0.50393,0.17094,2.23845,5.84265,3.43257,2.98051,0.000848596,0.000848596,0.000848596
50,269.473,1.13485,2.0694,1.61291,1.36995,0.52978,0.475,0.36246,0.15552,0.29552,0.375,0.33851,0.16712,2.36794,7.49152,3.87488,3.45284,0.000849755,0.000849755,0.000849755
51,274.685,1.00455,1.6109,1.51833,1.29487,0.50735,0.475,0.44658,0.21619,0.86807,0.375,0.38676,0.18367,1.99377,6.94667,3.80609,2.93839,0.000841835,0.000841835,0.000841835
52,279.598,1.16913,1.88884,1.33841,1.37887,0.73308,0.475,0.56097,0.3134,0.73308,0.475,0.57312,0.2599,1.68731,5.60585,3.69287,2.3143,0.000825332,0.000825332,0.000825332
53,284.829,1.18764,2.13144,1.60692,1.31187,0.96698,0.47112,0.58459,0.27124,0.96698,0.47112,0.6679,0.20177,1.90524,4.74922,3.18032,2.51933,0.000808828,0.000808828,0.000808828
54,289.965,1.01291,1.73681,1.30314,1.30617,0.83629,0.35,0.54732,0.18005,0.86635,0.46536,0.60692,0.19864,2.33658,4.38916,3.03379,3.26715,0.000792325,0.000792325,0.000792325
55,294.833,0.88503,1.83473,1.37956,1.24534,0.70358,0.475,0.55051,0.19044,0.50299,0.57109,0.66522,0.24792,2.28779,3.63518,2.98357,3.08652,0.000775822,0.000775822,0.000775822
56,299.381,1.11448,2.28861,1.37358,1.34958,0.66691,0.575,0.56266,0.21214,0.66691,0.575,0.58864,0.23271,2.32799,3.66034,2.7364,2.8704,0.000759318,0.000759318,0.000759318
57,303.856,0.96918,2.01484,1.25171,1.24427,0.70494,0.35,0.43884,0.14918,0.70494,0.35,0.44395,0.17182,2.20904,4.13493,2.93304,2.93295,0.000742815,0.000742815,0.000742815
58,308.299,0.92579,1.77938,1.35497,1.31082,0.51248,0.46183,0.43899,0.13277,0.51248,0.46183,0.48618,0.16839,2.34247,5.03527,3.0265,3.31647,0.000726312,0.000726312,0.000726312
59,312.757,1.17221,2.03539,1.29143,1.3439,0.64833,0.46806,0.48504,0.15358,0.79711,0.56652,0.58378,0.20897,2.35631,5.24914,3.02379,3.21173,0.000709809,0.000709809,0.000709809
60,317.182,1.05814,2.14782,1.64918,1.30131,0.7346,0.55042,0.58671,0.19451,0.7346,0.55042,0.57599,0.2428,2.19557,4.92849,2.82631,2.92853,0.000693305,0.000693305,0.000693305
61,321.752,1.11365,1.64854,1.4673,1.38558,0.47912,0.58056,0.49064,0.17913,0.47912,0.58056,0.4883,0.24285,2.10454,4.7704,2.88758,2.84746,0.000676802,0.000676802,0.000676802
62,326.203,1.05436,1.75356,1.16858,1.31487,0.73041,0.61242,0.59241,0.23879,0.73041,0.61242,0.58469,0.27573,2.03326,4.54101,2.62576,3.0062,0.000660299,0.000660299,0.000660299
63,330.658,1.04667,2.07713,1.3426,1.30008,0.75967,0.55,0.62996,0.23372,0.75967,0.55,0.62186,0.2726,2.12583,4.55751,2.7991,3.48926,0.000643795,0.000643795,0.000643795
64,335.205,1.04092,1.86803,1.25783,1.30173,0.64965,0.5567,0.54082,0.2392,0.88309,0.67923,0.69084,0.27709,2.26756,4.84723,2.43736,3.53578,0.000627292,0.000627292,0.000627292
65,339.762,0.92281,1.64413,1.15494,1.183,0.82559,0.525,0.60696,0.28155,0.82559,0.525,0.60618,0.26412,2.28116,5.10022,2.31537,3.26078,0.000610789,0.000610789,0.000610789
66,344.325,0.86655,1.70517,1.13088,1.1491,0.60072,0.69695,0.66785,0.32267,0.60072,0.69695,0.66785,0.29569,2.20575,4.68747,2.23197,3.04766,0.000594286,0.000594286,0.000594286
67,348.868,0.96722,1.52591,1.12169,1.34746,0.66552,0.775,0.66786,0.29826,0.58888,0.675,0.55643,0.28553,1.91882,4.41213,2.18594,2.82536,0.000577782,0.000577782,0.000577782
68,353.454,0.8725,1.55241,1.14051,1.1674,0.67777,0.775,0.66876,0.26978,0.59189,0.675,0.50076,0.24338,2.0203,4.34029,2.1727,2.81027,0.000561279,0.000561279,0.000561279
69,358.065,1.02173,1.64085,1.26763,1.23594,0.67957,0.85381,0.72201,0.23989,0.59121,0.675,0.48578,0.21973,2.06357,4.38898,2.33442,2.80477,0.000544776,0.000544776,0.000544776
70,362.55,0.96671,1.76435,1.26551,1.37087,0.65452,0.65584,0.48948,0.14904,0.54799,0.5734,0.41803,0.12815,2.15729,5.06286,2.77255,3.12466,0.000528272,0.000528272,0.000528272
71,366.989,0.74691,1.34618,0.90359,1.06692,0.55659,0.44139,0.39693,0.12646,0.55659,0.44139,0.4037,0.14179,2.37481,4.87,2.88383,3.4121,0.000511769,0.000511769,0.000511769
72,371.367,1.00891,1.63904,1.27389,1.34728,0.60441,0.42264,0.3832,0.12461,0.60441,0.42264,0.37467,0.13265,2.4141,4.48408,2.89962,3.44172,0.000495266,0.000495266,0.000495266
73,375.955,0.72477,1.35456,1.10579,1.13691,0.58619,0.39304,0.37373,0.1067,0.49944,0.42774,0.33047,0.09848,2.34288,4.26837,3.0073,3.26296,0.000478762,0.000478762,0.000478762
74,380.487,0.8602,1.60825,1.00613,1.27808,0.5516,0.44453,0.39874,0.12131,0.5516,0.44453,0.3959,0.12823,2.25498,4.02612,2.9232,3.02894,0.000462259,0.000462259,0.000462259
75,384.981,0.89139,1.44872,0.95722,1.16503,0.73757,0.43075,0.49221,0.18165,0.73757,0.43075,0.49001,0.18792,2.01787,3.59615,2.65838,2.69264,0.000445756,0.000445756,0.000445756
76,390.784,0.78669,1.45769,1.05425,1.16826,0.57774,0.66686,0.60681,0.29285,0.57774,0.66686,0.62957,0.29536,1.76295,3.49881,2.42198,2.40706,0.000429253,0.000429253,0.000429253
77,396.83,0.82594,1.40241,1.16913,1.20134,0.57294,0.775,0.6758,0.3468,0.57294,0.775,0.66802,0.32659,1.90614,3.63181,2.03599,2.57983,0.000412749,0.000412749,0.000412749
78,402.781,0.84065,1.25574,1.09873,1.19819,0.58022,0.73645,0.66019,0.30113,0.58022,0.73645,0.6495,0.30642,2.04187,3.79216,2.23461,2.61978,0.000396246,0.000396246,0.000396246
79,408.616,0.76721,1.4133,0.91265,1.06058,0.5775,0.75877,0.70009,0.3497,0.5775,0.75877,0.68784,0.32355,2.12227,3.93285,2.13248,2.68236,0.000379743,0.000379743,0.000379743
80,414.809,0.78815,1.33396,0.96451,1.06842,0.61616,0.775,0.56999,0.29242,0.61959,0.76652,0.61092,0.30242,2.21381,3.92154,1.96065,2.72549,0.000363239,0.000363239,0.000363239
81,419.398,0.91594,1.80393,1.55251,1.24322,0.76209,0.75679,0.73614,0.4043,0.8562,0.775,0.81564,0.37818,2.07431,3.8694,1.90741,2.71536,0.000346736,0.000346736,0.000346736
82,423.932,0.79963,1.40592,1.05932,1.10547,0.77737,0.875,0.78727,0.3778,0.77737,0.875,0.78727,0.37272,2.00307,3.99998,1.89294,2.60089,0.000330233,0.000330233,0.000330233
83,428.481,0.76252,1.27129,0.94909,1.10678,0.79143,0.775,0.71294,0.3281,0.79143,0.775,0.76212,0.36231,2.04527,4.07064,1.84492,2.6613,0.000313729,0.000313729,0.000313729
84,433.649,0.77167,1.45058,0.95415,1.1518,0.64534,0.675,0.58317,0.30961,0.72953,0.775,0.70289,0.33722,2.02709,4.08681,1.84314,2.63005,0.000297226,0.000297226,0.000297226
85,439.251,0.7364,1.37514,0.96354,1.1024,0.75316,0.575,0.57394,0.32425,0.78129,0.875,0.83687,0.34548,2.06665,4.05602,1.76415,2.64421,0.000280723,0.000280723,0.000280723
86,444.686,0.98559,1.83976,1.30198,1.35773,0.74442,0.86139,0.79556,0.37028,0.74442,0.86139,0.83687,0.33995,1.94113,4.16343,1.67183,2.58136,0.00026422,0.00026422,0.00026422
87,450.082,0.93432,1.57511,1.09566,1.25804,0.75023,0.77446,0.82162,0.39567,0.75023,0.77446,0.82162,0.36469,1.92975,4.38521,1.67471,2.59095,0.000247716,0.000247716,0.000247716
88,454.894,0.70888,1.23501,0.91752,1.10663,0.93902,0.66285,0.69203,0.37253,0.74891,0.775,0.77651,0.36903,1.92187,4.42001,1.76039,2.53488,0.000231213,0.000231213,0.000231213
89,459.737,0.83426,1.45358,1.09472,1.17865,0.87313,0.65086,0.68049,0.37788,0.84765,0.775,0.7749,0.3817,1.89897,4.40292,1.90248,2.51964,0.00021471,0.00021471,0.00021471
90,464.419,0.65276,1.39855,0.91839,1.05671,0.86665,0.6615,0.6422,0.3586,0.84625,0.775,0.73909,0.3788,1.87268,4.33115,1.94966,2.50618,0.000198206,0.000198206,0.000198206
91,491.765,0.68626,0.99903,1.32336,1.15798,0.72471,0.675,0.64733,0.37373,0.84805,0.775,0.77034,0.39285,1.82196,4.25759,1.9288,2.43604,0.000181703,0.000181703,0.000181703
92,495.865,0.61187,1.24098,1.15029,1.09468,0.85091,0.775,0.77271,0.37973,0.85091,0.775,0.77034,0.39279,1.81306,4.15891,1.95145,2.41515,0.0001652,0.0001652,0.0001652
93,499.867,0.50861,1.03735,1.06767,1.01071,0.84728,0.775,0.77517,0.38413,0.84728,0.775,0.77034,0.39279,1.7924,4.15447,2.00162,2.38912,0.000148696,0.000148696,0.000148696
94,503.896,0.71482,1.65016,1.37189,1.27281,0.71901,0.675,0.6466,0.36545,0.84229,0.775,0.77034,0.39716,1.79568,4.0659,2.01095,2.37461,0.000132193,0.000132193,0.000132193
